sample_index,id,sample_id,client_id,sentence_id,primary_accent,clip,audio_duration_sec,whisper_runtime_sec,whisper_generation_runtime_sec,whisper_prepost_overhead_sec,whisper_generated_token_count,whisper_generation_limit_reached,asr_status,asr_error,nllb_runtime_sec,nllb_generation_runtime_sec,nllb_prepost_overhead_sec,nllb_generated_token_count,nllb_generation_limit_reached,mt_status,mt_error,cascade_stage_sum_runtime_sec,cascade_generation_sum_runtime_sec,cascade_realtime_factor,runtime_scope,cascade_status,cascade_error
0,sample_0001,spk_1329,,011490baf5692eb45577c9673689ba64ea5042f8ed216fa3af3d2f5cdd6bdbdc,England English,common_voice_en_470969.mp3,3.624,0.7529760910001642,0.6499912700001005,0.10298482100006368,10.0,False,success,,0.2773114869996789,0.2749861369993596,0.002325350000319304,14.0,False,success,,1.030287577999843,0.9249774069994601,0.2842956892935549,staged_whisper_pipeline_plus_nllb_pipeline,success,
1,sample_0002,spk_1385,,1de2845a12b84bcdfad2a954b83e79e5a54064eae0bce7da51d8576d19c483c3,England English,common_voice_en_19670219.mp3,9.264,0.875874321000083,0.8384270329997889,0.037447288000294066,19.0,False,success,,0.4456629880005494,0.4445091539982968,0.0011538340022525517,31.0,False,success,,1.3215373090006324,1.2829361869980858,0.14265299104065549,staged_whisper_pipeline_plus_nllb_pipeline,success,
2,sample_0003,spk_0337,,4933d68ff7a8bed9b55641bd748c0a15,England English,common_voice_en_17262688.mp3,2.016,0.519837839999127,0.4967378679993999,0.02309997199972713,5.0,False,success,,0.10029227999984869,0.09910724400106119,0.001185035998787498,8.0,False,success,,0.6201301199989757,0.5958451120004611,0.30760422618996813,staged_whisper_pipeline_plus_nllb_pipeline,success,
3,sample_0004,spk_1445,,0dabc6a9640a139f548310fdd8306873589727eac1b58459182d8dab32276675,England English,common_voice_en_19057705.mp3,4.584,0.7703235669996502,0.7378425659999266,0.03248100099972362,12.0,False,success,,0.14422443000148633,0.1432170859989128,0.001007344002573518,12.0,False,success,,0.9145479970011365,0.8810596519988394,0.1995087253492881,staged_whisper_pipeline_plus_nllb_pipeline,success,
4,sample_0005,spk_1337,,ad82860cbbd707b2ef54935f72957bdb744a9034e5e7dba0dc3d9523503162ff,England English,common_voice_en_48612.mp3,2.808,0.6711413779994473,0.6364895839997189,0.0346517939997284,9.0,False,success,,0.14544069499970647,0.14443000000028405,0.0010106949994224124,12.0,False,success,,0.8165820729991538,0.7809195840000029,0.2908055815524052,staged_whisper_pipeline_plus_nllb_pipeline,success,
5,sample_0006,spk_0175,,c3a9f2dea7a7cb101a9fc643bcf85da5cfefa11dba136a7d62cf689a6ef0b6c7,England English,common_voice_en_18166047.mp3,3.312,0.4926090420003675,0.46475861399994756,0.027850428000419925,5.0,False,success,,0.1099693340001977,0.10913108500062663,0.0008382489995710785,9.0,False,success,,0.6025783760005652,0.5738896990005742,0.18193791545910787,staged_whisper_pipeline_plus_nllb_pipeline,success,
6,sample_0007,spk_0528,,d15f1e30bbd05c07461d11ac4192a9393a8aa82a00571cdbf3db8e6d46acc7fd,England English,common_voice_en_11812839.mp3,3.384,0.586783469000693,0.5480274749997989,0.038755994000894134,6.0,False,success,,0.14384646299913584,0.14282372600064264,0.001022736998493201,12.0,False,success,,0.7306299319998288,0.6908512010004415,0.21590719030727804,staged_whisper_pipeline_plus_nllb_pipeline,success,
7,sample_0008,spk_0987,,e4a25857d6ab2440d1fd4ddcc7b8102ce1e01d833a171d176b33296925d9a2ce,England English,common_voice_en_17847613.mp3,3.624,0.6577832680004576,0.6260010070000135,0.03178226100044412,7.0,False,success,,0.15553437899870914,0.15255233199968643,0.002982046999022714,12.0,False,success,,0.8133176469991668,0.7785533389996999,0.22442539928233077,staged_whisper_pipeline_plus_nllb_pipeline,success,
8,sample_0009,spk_0608,,fd71dabc355603f69effef286b876383e7c457b9a4300dc3a9007232d3c1e3a0,England English,common_voice_en_17252567.mp3,2.304,0.43553165499997704,0.4078859920000468,0.02764566299993021,5.0,False,success,,0.10814405500059365,0.10719708000033279,0.0009469750002608635,9.0,False,success,,0.5436757100005707,0.5150830720003796,0.23597036024330326,staged_whisper_pipeline_plus_nllb_pipeline,success,
9,sample_0010,spk_1355,,83554214cfcb106ab5802e28948d01c946423853b5c7849cce8d23f54662e63e,England English,common_voice_en_17699256.mp3,3.12,0.5165183449998949,0.49201408799945057,0.02450425700044434,7.0,False,success,,0.20791523700063408,0.2069512689995463,0.0009639680010877782,17.0,False,success,,0.724433582000529,0.6989653569989969,0.23219025064119517,staged_whisper_pipeline_plus_nllb_pipeline,success,
10,sample_0011,spk_0937,,5414a3dd05e8139e85e836fe78ffa5a0000e0209af2ca73190ecbb01a1f67a6a,England English,common_voice_en_674206.mp3,2.784,0.49489549899954,0.4721704799994768,0.022725019000063185,7.0,False,success,,0.11944803200094611,0.11863347899998189,0.0008145530009642243,10.0,False,success,,0.6143435310004861,0.5908039589994587,0.220669371767416,staged_whisper_pipeline_plus_nllb_pipeline,success,
11,sample_0012,spk_0392,,a81db92c9202c9ede2df61532cf40d55,England English,common_voice_en_17265534.mp3,4.776,0.825584892999359,0.8012185079996925,0.02436638499966648,17.0,False,success,,0.17882712000027823,0.17730821399891283,0.0015189060013653943,15.0,False,success,,1.0044120129996372,0.9785267219986054,0.21030402282236962,staged_whisper_pipeline_plus_nllb_pipeline,success,
12,sample_0013,spk_1330,,69bc7bb74f1be523a79a74d07b7998bac00a2587507052993b79a153ebd4b929,England English,common_voice_en_148713.mp3,8.976,0.8536957099995561,0.8217514979996849,0.031944211999871186,18.0,False,success,,0.26846004300023196,0.2675319519985351,0.0009280910016968846,22.0,False,success,,1.122155752999788,1.08928344999822,0.12501735216129545,staged_whisper_pipeline_plus_nllb_pipeline,success,
13,sample_0014,spk_0274,,8cfe3ee51896970bcb7afc67f7ff9a76b25dc6946e32a50fee558519b7a01816,England English,common_voice_en_18087457.mp3,3.456,0.5523115559999496,0.5275972850004109,0.024714270999538712,9.0,False,success,,0.19497970699922007,0.19393066399970849,0.0010490429995115846,16.0,False,success,,0.7472912629991697,0.7215279490001194,0.21623011082151902,staged_whisper_pipeline_plus_nllb_pipeline,success,
14,sample_0015,spk_0977,,b91243d7818613721bfcf7a89f2258e5044377e653b06856bc2460460fcc5c7d,England English,common_voice_en_690562.mp3,2.664,0.518174695000198,0.4965251690000514,0.02164952600014658,8.0,False,success,,0.16139973600002122,0.16017570500116562,0.0012240309988555964,12.0,False,success,,0.6795744310002192,0.656700874001217,0.2550955071322144,staged_whisper_pipeline_plus_nllb_pipeline,success,
15,sample_0016,spk_1311,,df3c337cd0fc8c91aed58b60513e38b70359bc4678a0484a03cff550080b483d,England English,common_voice_en_637849.mp3,2.52,0.5201202649996048,0.4981624620004368,0.021957802999168052,8.0,False,success,,0.16506879799999297,0.16388734899919655,0.0011814490007964196,14.0,False,success,,0.6851890629995978,0.6620498109996333,0.2719004218252372,staged_whisper_pipeline_plus_nllb_pipeline,success,
16,sample_0017,spk_0416,,58b17801e3ab5dd995c18314ae7fb663d7a7d563a95cee67914604bfed3b687f,England English,common_voice_en_18474958.mp3,3.816,0.5397375499996997,0.5147240180003791,0.02501353199932055,9.0,False,success,,0.14345595499980845,0.14219018400035566,0.0012657709994527977,12.0,False,success,,0.6831935049995081,0.6569142020007348,0.17903393736884388,staged_whisper_pipeline_plus_nllb_pipeline,success,
17,sample_0018,spk_0661,,927bf3ff7ec4a9cddaf16533df87ea8e9a73e609290ff07b9bd3e9ca811d4717,England English,common_voice_en_319540.mp3,2.76,0.5031964459994924,0.47976810000000114,0.023428345999491285,7.0,False,success,,0.17696454799988715,0.17617310899913718,0.0007914390007499605,15.0,False,success,,0.6801609939993796,0.6559412089991383,0.24643514275339842,staged_whisper_pipeline_plus_nllb_pipeline,success,
18,sample_0019,spk_1160,,bafe6a43d11c5aab9911fef3c80b8ba5d579bbbb6ad12e356839993766d7702c,England English,common_voice_en_17586918.mp3,4.68,0.7047722460001751,0.6792282180003895,0.025544027999785612,14.0,False,success,,0.25031435799974133,0.24925716600046144,0.001057191999279894,20.0,False,success,,0.9550866039999164,0.9284853840008509,0.20407833418801632,staged_whisper_pipeline_plus_nllb_pipeline,success,
19,sample_0020,spk_1537,,182aaf3ff0c6885be02fa859703a3fdd5fef098c093c06a75f27d48840ab2e18,England English,common_voice_en_19534575.mp3,7.296,0.7634205459999066,0.7344921300000351,0.028928415999871504,15.0,False,success,,0.3066925560015079,0.3057667089997267,0.0009258470017812215,26.0,False,success,,1.0701131020014145,1.0402588389997618,0.14667120367343947,staged_whisper_pipeline_plus_nllb_pipeline,success,
20,sample_0021,spk_0147,,114c527fd5338e110321992f1891b71afa10cec36763b44bce62733bab178c7a,England English,common_voice_en_698176.mp3,2.472,0.5678667689999202,0.5464581279993581,0.021408641000562056,9.0,False,success,,0.13266266800019366,0.131670850001683,0.000991817998510669,11.0,False,success,,0.7005294370001138,0.6781289780010411,0.2833856945793341,staged_whisper_pipeline_plus_nllb_pipeline,success,
21,sample_0022,spk_0857,,114c527fd5338e110321992f1891b71afa10cec36763b44bce62733bab178c7a,England English,common_voice_en_548502.mp3,2.664,0.550564406000376,0.5280544549996193,0.0225099510007567,9.0,False,success,,0.13469429900032992,0.1338700800006336,0.0008242189996963134,11.0,False,success,,0.685258705000706,0.661924535000253,0.2572292436188836,staged_whisper_pipeline_plus_nllb_pipeline,success,
22,sample_0023,spk_0916,,1a3614c3e7c744490fe984ff96cffd8d521610127f7aca155f7a9ab9ce59f6fa,England English,common_voice_en_19599203.mp3,8.976,0.9090426320008191,0.8764595479997297,0.032583084001089446,20.0,False,success,,0.2804322769989085,0.2792026250008348,0.0012296519980736775,22.0,False,success,,1.1894749089997276,1.1556621730005645,0.1325172581327682,staged_whisper_pipeline_plus_nllb_pipeline,success,
23,sample_0024,spk_0334,,2c2420f2951acf3c9f43fb2e9b314b2be57f4770498aa7ad4a01803f073aa90c,England English,common_voice_en_20001206.mp3,4.464,0.8315176329997485,0.8051048329998594,0.026412799999889103,13.0,False,success,,0.1809360999995988,0.1798712460004026,0.0010648539991962025,15.0,False,success,,1.0124537329993473,0.984976079000262,0.22680415165755985,staged_whisper_pipeline_plus_nllb_pipeline,success,
