sample_index,id,sample_id,client_id,sentence_id,primary_accent,clip,audio_duration_sec,direct_runtime_sec,direct_generation_runtime_sec,direct_prepost_overhead_sec,direct_realtime_factor,generated_token_count,generation_limit_reached,runtime_scope,direct_status,direct_error
1677,,spk_1232,,bf4dd4a18d937351e936b3f8ec2f812542fef7710ed46dac6672864343a786e2,Hong Kong English,common_voice_en_17520897.mp3,3.096,0.6793638239996653,0.6607945229989127,0.018569301000752603,0.21943275968981438,10,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1678,,spk_0294,,f01c2c6bd9d45a758da2136c7843f5827e6288fcf6d29ce0ed7e5c994b0f134a,Hong Kong English,common_voice_en_100349.mp3,4.896,0.6283217490017705,0.6004498330003116,0.027871916001458885,0.1283336905640871,8,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1679,,spk_0028,,0b4680f6734730e6a5322a8ddbadd9a3f4fdf9a81271ba01d27c8f8d291cee1e,Hong Kong English,common_voice_en_18978487.mp3,3.888,0.797869386999082,0.7759147059987299,0.02195468100035214,0.20521331970141,12,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1680,,spk_1043,,fc1d337585358edace53a1a3907de630d815192d838f7f260584c6d398d25963,Hong Kong English,common_voice_en_17808866.mp3,2.664,1.2349554009997519,1.2010342609992222,0.033921140000529704,0.4635718472221291,13,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1681,,spk_1501,,559c37f0cf549d0d357dbeef4a7a1cff2da08a9af87c19b0027d35acba2092d9,Hong Kong English,common_voice_en_219273.mp3,2.592,0.9955254529995727,0.968913569000506,0.026611883999066777,0.38407617785477344,10,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1682,,spk_1501,,c751861c6e893ad4940d0a7d22c95d9830f17917016a6d01f6ca9b0991d16398,Hong Kong English,common_voice_en_219309.mp3,3.624,1.3333089839998138,1.296557532999941,0.03675145099987276,0.3679108675496175,15,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1683,,spk_1314,,15523615f2e6a97c7ca20903c9cff150a058a2ab976f8071059eee3210fba496,Hong Kong English,common_voice_en_558054.mp3,4.248,0.967234001000179,0.9334852829997544,0.03374871800042456,0.2276916198211344,17,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1684,,spk_0968,,d4a8d549ed25d8d04402803e8d48f6beda353ba25a9c8b9473763a066239dbe3,Hong Kong English,common_voice_en_675160.mp3,3.36,0.7352379519998067,0.7150029849999555,0.020234966999851167,0.2188208190475615,12,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1685,,spk_1314,,0d6953d95fc9d053822f8788dc5758b7252fe916ceca1ead9214cf669b7ae88c,Hong Kong English,common_voice_en_558049.mp3,3.264,0.7083811610009434,0.6884270540012949,0.019954106999648502,0.21702854197332827,11,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1686,,spk_1043,,90264a362006fff97cfef718929faa0779b96bdabf30e9ae3d38b0b215fe0cd5,Hong Kong English,common_voice_en_17782885.mp3,3.384,0.7289427179985069,0.7083907539999927,0.02055196399851411,0.21540860460948785,12,False,audio_load_to_text_decode_end_to_end_pipeline,success,
