sample_index,id,sample_id,client_id,sentence_id,primary_accent,clip,audio_duration_sec,whisper_runtime_sec,whisper_generation_runtime_sec,whisper_prepost_overhead_sec,whisper_generated_token_count,whisper_generation_limit_reached,asr_status,asr_error,nllb_runtime_sec,nllb_generation_runtime_sec,nllb_prepost_overhead_sec,nllb_generated_token_count,nllb_generation_limit_reached,mt_status,mt_error,cascade_stage_sum_runtime_sec,cascade_generation_sum_runtime_sec,cascade_realtime_factor,runtime_scope,cascade_status,cascade_error
1626,sample_1627,spk_1314,,91f4445fbaa0e66f4b336b27870554f546fbe975d215270e52cd8e4229a24bf4,Hong Kong English,common_voice_en_558114.mp3,3.072,0.5545114830001694,0.5301567500000601,0.024354733000109263,7.0,False,success,,0.3249764719994346,0.3232091899999432,0.001767281999491388,14.0,False,success,,0.879487954999604,0.8533659400000033,0.28629165201810025,staged_whisper_pipeline_plus_nllb_pipeline,success,
1627,sample_1628,spk_0143,,41598cb84264d50332763f1f3bb0bfa40e50a18425919586b836d4fe54f2a60a,Hong Kong English,common_voice_en_691775.mp3,3.984,0.6824689149998449,0.6589661960006197,0.02350271899922518,11.0,False,success,,0.2917452850006157,0.29068574699977034,0.0010595380008453503,13.0,False,success,,0.9742142000004606,0.94965194300039,0.2445316767069429,staged_whisper_pipeline_plus_nllb_pipeline,success,
1628,sample_1629,spk_0167,,06e9c6cd695e1d7edfffcd13750b136dd9e63cb8a0b442d4baf0c497904c64df,Hong Kong English,common_voice_en_18840632.mp3,4.488,0.5845068170001468,0.5594217079997179,0.02508510900042893,5.0,False,success,,0.29355921700062027,0.2925608989999091,0.0009983180007111514,12.0,False,success,,0.8780660340007671,0.851982606999627,0.19564751203225647,staged_whisper_pipeline_plus_nllb_pipeline,success,
1629,sample_1630,spk_1501,,f84603f9ab729a92c8647c2997c5c320cd1ff0c7231f2c9b746397ccd64f7825,Hong Kong English,common_voice_en_219322.mp3,1.896,0.602796539999872,0.576739061999433,0.026057478000439005,6.0,False,success,,0.2744013660003475,0.27158688500003336,0.0028144810003141174,8.0,False,success,,0.8771979060002195,0.8483259469994664,0.4626571234178373,staged_whisper_pipeline_plus_nllb_pipeline,success,
1630,sample_1631,spk_0862,,f49b678be5b0fc0ce00a79f3e64386cd242128dbebda3e4998634d7cea8bfcd6,Hong Kong English,common_voice_en_214017.mp3,7.824,0.6723908389994904,0.632619032000548,0.03977180699894234,7.0,False,success,,0.33012233699992066,0.3290261679994728,0.0010961690004478442,12.0,False,success,,1.002513175999411,0.9616452000000208,0.1281330746420515,staged_whisper_pipeline_plus_nllb_pipeline,success,
1631,sample_1632,spk_1043,,0539f909435fa55e82cf51f701c100d443ee03208c61c65752b9997045c9cf27,Hong Kong English,common_voice_en_17808911.mp3,3.576,0.836121694999747,0.8059327250002752,0.030188969999471738,12.0,False,success,,0.6298522679999223,0.6287013959999967,0.0011508719999255845,20.0,False,success,,1.4659739629996693,1.434634121000272,0.4099479762303326,staged_whisper_pipeline_plus_nllb_pipeline,success,
1632,sample_1633,spk_0862,,6e7182c4579a52abddbab8ae12e7b12b1204a9705b3afe87415c8215a4882471,Hong Kong English,common_voice_en_214009.mp3,4.464,0.8869025060002969,0.8562975579998238,0.030604948000473087,10.0,False,success,,0.45111537299999327,0.4501052450004863,0.001010127999506949,15.0,False,success,,1.3380178790002901,1.30640280300031,0.2997351879480936,staged_whisper_pipeline_plus_nllb_pipeline,success,
1633,sample_1634,spk_1310,,369327b0a55bf48b0b12c100793fe11f9c083db98d2413a1e9f89e935624df87,Hong Kong English,common_voice_en_17609.mp3,3.864,0.5508691269997144,0.5226894999996148,0.028179627000099572,7.0,False,success,,0.3512818849994801,0.348789071000283,0.0024928139991970966,12.0,False,success,,0.9021510119991945,0.8714785709998978,0.23347593478240022,staged_whisper_pipeline_plus_nllb_pipeline,success,
1634,sample_1635,spk_0143,,c4901ad2ea19ef82a6d7ed15451530cd9d43dc8f6b1a54333ac2aa755a314a30,Hong Kong English,common_voice_en_691795.mp3,5.76,0.8469201640000392,0.8221958860003724,0.02472427799966681,16.0,False,success,,0.7015721609996035,0.7004764539997268,0.001095706999876711,23.0,False,success,,1.5484923249996427,1.5226723400000992,0.26883547309021577,staged_whisper_pipeline_plus_nllb_pipeline,success,
1635,sample_1636,spk_0505,,da5b1d122f88389bb98e7834505e6f2ee94fc53a4ed22bc68f4ad6ef95de2d40,Hong Kong English,common_voice_en_609954.mp3,6.144,0.7610597670000061,0.7352848820000872,0.025774884999918868,14.0,False,success,,0.7290539430005083,0.7276043659994684,0.00144957700103987,25.0,False,success,,1.4901137100005144,1.4628892479995557,0.2425315283203962,staged_whisper_pipeline_plus_nllb_pipeline,success,
1636,sample_1637,spk_0143,,4fb08f231493ab0aee47e6c8b6059101f3b47a33a50813eac5de442a64077de8,Hong Kong English,common_voice_en_691776.mp3,5.4,0.6719526870001573,0.6474874539999291,0.02446523300022818,11.0,False,success,,0.3729717910000545,0.37191317199994955,0.0010586190001049545,15.0,False,success,,1.0449244780002118,1.0194006259998787,0.19350453296300218,staged_whisper_pipeline_plus_nllb_pipeline,success,
1637,sample_1638,spk_1314,,6d1883dd4aa7e36faec1bfb3b9caa8f6deff44b3205ba7c240578215ab4215f0,Hong Kong English,common_voice_en_558096.mp3,2.856,0.6127796330001729,0.5905355069999132,0.022244126000259712,9.0,False,success,,0.25248451399966143,0.25153581199992914,0.0009487019997322932,11.0,False,success,,0.8652641469998343,0.8420713189998423,0.3029636369047039,staged_whisper_pipeline_plus_nllb_pipeline,success,
1638,sample_1639,spk_1398,,65a4baab0b7ee1835aaebbf1c560691d,Hong Kong English,common_voice_en_17264229.mp3,3.672,0.6637143190000643,0.6414094609999665,0.022304858000097738,11.0,False,success,,0.28953193300003477,0.288583466000091,0.0009484669999437756,13.0,False,success,,0.953246252000099,0.9299929270000575,0.2595986525054736,staged_whisper_pipeline_plus_nllb_pipeline,success,
1639,sample_1640,spk_1310,,3f05ef41569ddac6125dfc34433becef93df5a2e53de1efbd2d5258191561c9c,Hong Kong English,common_voice_en_17617.mp3,3.504,0.5719628719998582,0.5494845729999724,0.022478298999885737,8.0,False,success,,0.2465732000000571,0.2455607649999365,0.001012435000120604,11.0,False,success,,0.8185360719999153,0.795045337999909,0.2336004771689256,staged_whisper_pipeline_plus_nllb_pipeline,success,
1640,sample_1641,spk_1314,,460928f8827b773d21bb75c8fe4fd713af02e7cfe92e7e06b3751be87d5da00e,Hong Kong English,common_voice_en_558078.mp3,2.808,0.6264423390002776,0.605534524000177,0.020907815000100527,9.0,False,success,,0.22669722799946612,0.22546462999980577,0.0012325979996603564,10.0,False,success,,0.8531395669997437,0.8309991539999828,0.30382463212241584,staged_whisper_pipeline_plus_nllb_pipeline,success,
1641,sample_1642,spk_1314,,64f41b0818f813fdb12aad284516ddd974c0c92e7c2d04d62aea4755d1c7a630,Hong Kong English,common_voice_en_558090.mp3,3.168,0.6023027860001093,0.580421180000485,0.0218816059996243,9.0,False,success,,0.28808824800034927,0.28685480900003313,0.0012334390003161388,13.0,False,success,,0.8903910340004586,0.8672759890005182,0.2810577758839831,staged_whisper_pipeline_plus_nllb_pipeline,success,
1642,sample_1643,spk_1314,,749f61739f1cf67d0708ac9e296a4d3b3eb1cfce3b966dc3e663d4485ebbd4c0,Hong Kong English,common_voice_en_558099.mp3,3.144,0.653587234999577,0.6299175120002474,0.02366972299932968,10.0,False,success,,0.2502395589999651,0.24802773999999772,0.002211818999967363,11.0,False,success,,0.9038267939995421,0.8779452520002451,0.2874767156487093,staged_whisper_pipeline_plus_nllb_pipeline,success,
1643,sample_1644,spk_1043,,c6674833802559dceb535e162609a1c8d9bfe2cfe553171385ea387ebec22fcc,Hong Kong English,common_voice_en_17787341.mp3,2.016,0.5073717410004974,0.4879817410001124,0.019390000000385044,6.0,False,success,,0.22066050300054485,0.21954113599986158,0.001119367000683269,9.0,False,success,,0.7280322440010423,0.707522876999974,0.3611271051592472,staged_whisper_pipeline_plus_nllb_pipeline,success,
